Fylke;Kommune;Vb,0;omrade
Sør-Trøndelag;Snillfjord;27;1
Sør-Trøndelag;Trondheim;26;1
Sør-Trøndelag;Tydal;25;1
Sør-Trøndelag;Ørland;30;1
Sør-Trøndelag;Åfjord;29;1
;;;
Telemark;Bø;23;1
Telemark;Drangedal;22;1
Telemark;Fyresdal;24;1
Telemark;Hjartdal;22;1
Telemark;Kragerø;24;1
Telemark;Kviteseid;22;1
Telemark;Nissedal;22;1
Telemark;Nome;22;1
Telemark;Porsgrunn;22;1
Telemark;Sauherad;22;1
Telemark;Seljord;22;1
Telemark;Siljan;22;1
Telemark;Skien;22;1
Telemark;Tinn;24;1
Telemark;Tokke;24;1
Telemark;Vinje;24;1
Telemark;Bamble;23;1
Telemark;Notodden;22;1
;;;
Troms;Bardu;24;2
Troms;Berg;30;2
Troms;Dyrøy;27;2
Troms;Gratangen;26;2
Troms;Harstad;27;2
Troms;Ibestad;26;2
Troms;Karlsøy;29;2
Troms;Kvæfjord;28;2
Troms;Lavangen;26;2
Troms;Lenvik;27;2
Troms;Lyngen;26;2
Troms;Målselv;24;2
Troms;Nordreisa;27;2
Troms;Salangen;26;2
Troms;Skjervøy;28;2
Troms;Sørreisa;26;2
Troms;Storfjord;24;2
Troms;Torsken;30;2
Troms;Tranøy;27;2
Troms;Tromsø;27;2
Troms;Kåfjord;25;2
Troms;Balsfjord;26;2
Troms;Skånland;26;2
Troms;Bjakøy;28;2
Troms;Kvænangen;28;2
;;;
Vest-Agder;Audnedal;24;1
Vest-Agder;Farsund;28;1
Vest-Agder;Flekkefjord;26;1
Vest-Agder;Hægebostad;24;1
Vest-Agder;Kristiansand;26;1
Vest-Agder;Kvinesdal;24;1
Vest-Agder;Lindesnes;28;1
Vest-Agder;Lyngdal;26;1
Vest-Agder;Mandal;28;1
Vest-Agder;Marnardal;24;1
Vest-Agder;Sirdal;24;1
Vest-Agder;Songdalen;24;1
Vest-Agder;Søgne;26;1
Vest-Agder;Vennesla;24;1
